tic,fyear,revt,ni,gp,seq,at,Revenue,NetIncome,GrossProfitMargin,ROE
AAPL,2019,260174.0,55256.0,109692.0,90488.0,338516.0,260174.0,55256.0,0.4216101532051627,0.6106445053487756
AAPL,2020,274515.0,57411.0,114656.0,65339.0,323888.0,274515.0,57411.0,0.41766752272189134,0.8786635853012749
AAPL,2021,365817.0,94680.0,162336.0,63090.0,351002.0,365817.0,94680.0,0.4437628650390769,1.5007132667617689
AAPL,2022,394328.0,99803.0,179482.0,50672.0,352755.0,394328.0,99803.0,0.4551591568440486,1.9695887275023682
AAPL,2023,383285.0,96995.0,177648.0,62146.0,352583.0,383285.0,96995.0,0.46348800500932724,1.5607601454639075
GOOGL,2019,161857.0,34343.0,101612.0,201442.0,275909.0,161857.0,34343.0,0.6277887270862551,0.17048579740074066
GOOGL,2020,182527.0,40269.0,111474.0,222544.0,319616.0,182527.0,40269.0,0.6107260843601221,0.18094848659141563
GOOGL,2021,257637.0,76033.0,159128.0,251635.0,359268.0,257637.0,76033.0,0.6176442048308278,0.30215590041131
GOOGL,2022,282836.0,59972.0,172562.0,256144.0,365264.0,282836.0,59972.0,0.6101132811947559,0.2341339246673746
GOOGL,2023,307394.0,73795.0,186487.0,281079.0,402392.0,307394.0,73795.0,0.6066709174544721,0.2625418476656029
MSFT,2019,125843.0,39240.0,94533.0,102330.0,286556.0,125843.0,39240.0,0.7511979212192971,0.3834652594547054
MSFT,2020,143015.0,44281.0,109237.0,118304.0,301311.0,143015.0,44281.0,0.7638149844421914,0.37429841763592103
MSFT,2021,168088.0,61271.0,126756.0,141988.0,333779.0,168088.0,61271.0,0.7541049926229119,0.4315223821731414
MSFT,2022,198270.0,72738.0,150220.0,166542.0,364840.0,198270.0,72738.0,0.7576537045443082,0.4367546925099975
MSFT,2023,211915.0,72361.0,159704.0,206223.0,411976.0,211915.0,72361.0,0.7536229148479343,0.35088714643856406
